name,family,csp,region,engine,cpu,ram
icd-2x4,icd-flex,ibm,eu-de,postgres,2,4
icd-2x8,icd-flex,ibm,eu-de,postgres,2,8
icd-4x16,icd-flex,ibm,eu-de,postgres,4,16
icd-2x4,icd-flex,ibm,eu-de,mysql,2,4
icd-2x8,icd-flex,ibm,eu-de,mysql,2,8
icd-4x16,icd-flex,ibm,eu-de,mysql,4,16
icd-2x4,icd-flex,ibm,us-south,postgres,2,4
icd-2x8,icd-flex,ibm,us-south,postgres,2,8
icd-4x16,icd-flex,ibm,us-south,postgres,4,16
icd-2x4,icd-flex,ibm,us-south,mysql,2,4
icd-2x8,icd-flex,ibm,us-south,mysql,2,8
icd-4x16,icd-flex,ibm,us-south,mysql,4,16
icd-2x4,icd-flex,ibm,eu-gb,postgres,2,4
icd-2x8,icd-flex,ibm,eu-gb,postgres,2,8
icd-2x4,icd-flex,ibm,jp-tok,postgres,2,4
icd-2x8,icd-flex,ibm,jp-tok,postgres,2,8
icd-2x4,icd-flex,ibm,au-syd,postgres,2,4
icd-2x8,icd-flex,ibm,au-syd,postgres,2,8
