name,family,csp,region,architecture,cpu,ram,gpu,supports_autoscale
cx2-2x4,cx2,ibm,eu-de,x86_64,2,4,0,true
cx2-4x8,cx2,ibm,eu-de,x86_64,4,8,0,true
bx2-2x8,bx2,ibm,eu-de,x86_64,2,8,0,true
bx2-4x16,bx2,ibm,eu-de,x86_64,4,16,0,true
bx2-8x32,bx2,ibm,eu-de,x86_64,8,32,0,true
mx2-2x16,mx2,ibm,eu-de,x86_64,2,16,0,true
mx2-4x32,mx2,ibm,eu-de,x86_64,4,32,0,true
cx2-2x4,cx2,ibm,us-south,x86_64,2,4,0,true
cx2-4x8,cx2,ibm,us-south,x86_64,4,8,0,true
bx2-2x8,bx2,ibm,us-south,x86_64,2,8,0,true
bx2-4x16,bx2,ibm,us-south,x86_64,4,16,0,true
bx2-8x32,bx2,ibm,us-south,x86_64,8,32,0,true
mx2-2x16,mx2,ibm,us-south,x86_64,2,16,0,true
mx2-4x32,mx2,ibm,us-south,x86_64,4,32,0,true
cx2-2x4,cx2,ibm,eu-gb,x86_64,2,4,0,true
bx2-2x8,bx2,ibm,eu-gb,x86_64,2,8,0,true
bx2-4x16,bx2,ibm,eu-gb,x86_64,4,16,0,true
cx2-2x4,cx2,ibm,jp-tok,x86_64,2,4,0,true
bx2-2x8,bx2,ibm,jp-tok,x86_64,2,8,0,true
bx2-4x16,bx2,ibm,jp-tok,x86_64,4,16,0,true
cx2-2x4,cx2,ibm,au-syd,x86_64,2,4,0,true
bx2-2x8,bx2,ibm,au-syd,x86_64,2,8,0,true
bx2-4x16,bx2,ibm,au-syd,x86_64,4,16,0,true
