kind,c1,c2,c3,c4,c5,c6,c7,c8
region,Europe,Germany,Frankfurt,eu-central,Frankfurt DE,,,
region,Europe,United Kingdom,London,gb-lon,London UK,,,
region,Europe,France,Paris,fr-par,Paris FR,,,
region,Europe,Netherlands,Amsterdam,nl-ams,Amsterdam NL,,,
region,Asia Pacific,Japan,Tokyo,ap-northeast,Tokyo JP,,,
region,North America,United States,Newark,us-east,Newark NJ US,,,
region,North America,United States,Atlanta,us-southeast,Atlanta GA US,,,
vm,g6-nanode-1,nanode,eu-central,x86_64,1,1,0,false
vm,g6-standard-1,standard,eu-central,x86_64,1,2,0,false
vm,g6-standard-2,standard,eu-central,x86_64,2,4,0,false
vm,g6-standard-4,standard,eu-central,x86_64,4,8,0,false
vm,g6-standard-6,standard,eu-central,x86_64,6,16,0,false
vm,g6-standard-8,standard,eu-central,x86_64,8,32,0,false
vm,g6-dedicated-2,dedicated,eu-central,x86_64,2,4,0,false
vm,g6-dedicated-4,dedicated,eu-central,x86_64,4,8,0,false
vm,g6-dedicated-8,dedicated,eu-central,x86_64,8,16,0,false
vm,g6-nanode-1,nanode,gb-lon,x86_64,1,1,0,false
vm,g6-standard-1,standard,gb-lon,x86_64,1,2,0,false
vm,g6-standard-2,standard,gb-lon,x86_64,2,4,0,false
vm,g6-standard-4,standard,gb-lon,x86_64,4,8,0,false
vm,g6-standard-6,standard,gb-lon,x86_64,6,16,0,false
vm,g6-standard-8,standard,gb-lon,x86_64,8,32,0,false
vm,g6-dedicated-2,dedicated,gb-lon,x86_64,2,4,0,false
vm,g6-dedicated-4,dedicated,gb-lon,x86_64,4,8,0,false
vm,g6-dedicated-8,dedicated,gb-lon,x86_64,8,16,0,false
vm,g6-nanode-1,nanode,fr-par,x86_64,1,1,0,false
vm,g6-standard-1,standard,fr-par,x86_64,1,2,0,false
vm,g6-standard-2,standard,fr-par,x86_64,2,4,0,false
vm,g6-standard-4,standard,fr-par,x86_64,4,8,0,false
vm,g6-standard-6,standard,fr-par,x86_64,6,16,0,false
vm,g6-standard-8,standard,fr-par,x86_64,8,32,0,false
vm,g6-dedicated-2,dedicated,fr-par,x86_64,2,4,0,false
vm,g6-dedicated-4,dedicated,fr-par,x86_64,4,8,0,false
vm,g6-dedicated-8,dedicated,fr-par,x86_64,8,16,0,false
vm,g6-nanode-1,nanode,nl-ams,x86_64,1,1,0,false
vm,g6-standard-1,standard,nl-ams,x86_64,1,2,0,false
vm,g6-standard-2,standard,nl-ams,x86_64,2,4,0,false
vm,g6-standard-4,standard,nl-ams,x86_64,4,8,0,false
vm,g6-standard-6,standard,nl-ams,x86_64,6,16,0,false
vm,g6-standard-8,standard,nl-ams,x86_64,8,32,0,false
vm,g6-dedicated-2,dedicated,nl-ams,x86_64,2,4,0,false
vm,g6-dedicated-4,dedicated,nl-ams,x86_64,4,8,0,false
vm,g6-dedicated-8,dedicated,nl-ams,x86_64,8,16,0,false
vm,g6-nanode-1,nanode,ap-northeast,x86_64,1,1,0,false
