name,family,csp,region,architecture,cpu,ram,gpu,supports_autoscale
c5.large,c5,aws,eu-west-1,x86_64,2,4,0,true
c5.xlarge,c5,aws,eu-west-1,x86_64,4,8,0,true
m5.large,m5,aws,eu-west-1,x86_64,2,8,0,true
m5.xlarge,m5,aws,eu-west-1,x86_64,4,16,0,true
t3.micro,t3,aws,eu-west-1,x86_64,2,1,0,true
t3.small,t3,aws,eu-west-1,x86_64,2,2,0,true
t3.medium,t3,aws,eu-west-1,x86_64,2,4,0,true
t3.large,t3,aws,eu-west-1,x86_64,2,8,0,true
t3.xlarge,t3,aws,eu-west-1,x86_64,4,16,0,true
t3a.micro,t3a,aws,eu-west-1,x86_64,2,1,0,true
t3a.small,t3a,aws,eu-west-1,x86_64,2,2,0,true
t3a.medium,t3a,aws,eu-west-1,x86_64,2,4,0,true
t3a.large,t3a,aws,eu-west-1,x86_64,2,8,0,true
t3a.xlarge,t3a,aws,eu-west-1,x86_64,4,16,0,true
t4g.micro,t4g,aws,eu-west-1,arm64,2,1,0,true
t4g.small,t4g,aws,eu-west-1,arm64,2,2,0,true
t4g.medium,t4g,aws,eu-west-1,arm64,2,4,0,true
t4g.large,t4g,aws,eu-west-1,arm64,2,8,0,true
t4g.xlarge,t4g,aws,eu-west-1,arm64,4,16,0,true
c5.large,c5,aws,us-east-1,x86_64,2,4,0,true
c5.xlarge,c5,aws,us-east-1,x86_64,4,8,0,true
m5.large,m5,aws,us-east-1,x86_64,2,8,0,true
m5.xlarge,m5,aws,us-east-1,x86_64,4,16,0,true
t3.micro,t3,aws,us-east-1,x86_64,2,1,0,true
t3.small,t3,aws,us-east-1,x86_64,2,2,0,true
t3.medium,t3,aws,us-east-1,x86_64,2,4,0,true
t3.large,t3,aws,us-east-1,x86_64,2,8,0,true
t3.xlarge,t3,aws,us-east-1,x86_64,4,16,0,true
t3a.micro,t3a,aws,us-east-1,x86_64,2,1,0,true
t3a.small,t3a,aws,us-east-1,x86_64,2,2,0,true
t3a.medium,t3a,aws,us-east-1,x86_64,2,4,0,true
t3a.large,t3a,aws,us-east-1,x86_64,2,8,0,true
t3a.xlarge,t3a,aws,us-east-1,x86_64,4,16,0,true
t4g.micro,t4g,aws,us-east-1,arm64,2,1,0,true
t4g.small,t4g,aws,us-east-1,arm64,2,2,0,true
t4g.medium,t4g,aws,us-east-1,arm64,2,4,0,true
t4g.large,t4g,aws,us-east-1,arm64,2,8,0,true
t4g.xlarge,t4g,aws,us-east-1,arm64,4,16,0,true
e2-micro,e2,gcp,europe-west3,x86_64,2,1,0,true
e2-small,e2,gcp,europe-west3,x86_64,2,2,0,true
e2-medium,e2,gcp,europe-west3,x86_64,2,4,0,true
e2-standard-2,e2,gcp,europe-west3,x86_64,2,8,0,true
e2-standard-4,e2,gcp,europe-west3,x86_64,4,16,0,true
n2-standard-2,n2,gcp,europe-west3,x86_64,2,8,0,true
n2-standard-4,n2,gcp,europe-west3,x86_64,4,16,0,true
s-1vcpu-1gb,Droplet,do,fra1,x86_64,1,1,0,false
s-1vcpu-2gb,Droplet,do,fra1,x86_64,1,2,0,false
s-2vcpu-2gb,Droplet,do,fra1,x86_64,2,2,0,false
s-2vcpu-4gb,Droplet,do,fra1,x86_64,2,4,0,false
s-4vcpu-8gb,Droplet,do,fra1,x86_64,4,8,0,false
s-1vcpu-1gb,Droplet,do,ams3,x86_64,1,1,0,false
s-1vcpu-2gb,Droplet,do,ams3,x86_64,1,2,0,false
s-2vcpu-2gb,Droplet,do,ams3,x86_64,2,2,0,false
s-2vcpu-4gb,Droplet,do,ams3,x86_64,2,4,0,false
s-4vcpu-8gb,Droplet,do,ams3,x86_64,4,8,0,false
